,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Brooklyn Blend,American (New),4.5,$$,194 Tompkins Ave,40.6923575699329,-73.9457686990499,https://www.yelp.com/biz/brooklyn-blend-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,X3ToKHjzofO8EzfiHYewWg
1,David's Cafe,American (New),4.0,$$,110 St Marks Pl,40.7269310030458,-73.9843428879976,https://www.yelp.com/biz/davids-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3V20VbC45XL4TBYTL9DrOg
2,The Bluebell Cafe,American (New),4.0,$$,293 3rd Ave,40.73845,-73.98321,https://www.yelp.com/biz/the-bluebell-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,63nYipWuA42RZmESBMUNkQ
3,Mad Morton,American (New),,,47 7th Ave S,40.731365,-74.003888,,
4,Duke Eatery,American (New),4.0,$$,300 Park Ave,40.7569688575924,-73.9750746534424,https://www.yelp.com/biz/duke-eatery-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZtjF2N3eYOjtnI3cES2fpw
5,The Cabin NYC,American (New),4.0,$$,205 E 4th St,40.72393,-73.98383,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,J3NT61-AH5d5Gu5tFJhYSw
6,Tribeca's Kitchen,American (New),4.0,$$,200 Church St,40.7162705535921,-74.0072225927912,https://www.yelp.com/biz/tribecas-kitchen-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MHtbBc2np3sR7jiV9GphNg
7,Natureworks,American (New),4.0,$$,113 E 31st St,40.745068,-73.981859,https://www.yelp.com/biz/natureworks-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Y39SdfmS0Z_GepcFnFqlMA
8,The Osprey,American (New),4.0,$$,60 Furman St,40.702241,-73.995539,https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,q11TljTQd33XCWlVoPyRqg
9,Bocado Cafe,American (New),3.5,$$,1293 Lexington Ave,40.7802514169278,-73.9549089244757,https://www.yelp.com/biz/bocado-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Tt9Mkrgd5Zj_ZJEeU0L7Gg
10,Dig,American (New),3.5,$$,80 Pine St,40.7062847,-74.0070115,https://www.yelp.com/biz/dig-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_rzVYnChUVRaQb7VyuI7IQ
11,Krave Cafe & Grill,American (New),3.5,$$,4501 Ditmars Blvd,40.770849,-73.902925,https://www.yelp.com/biz/krave-cafe-and-grill-astoria?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2adt0VMnQxso1NGUzhY5qg
12,Montagu's Gusto,American (New),4.5,$,645 2nd Ave,40.74571,-73.97553,https://www.yelp.com/biz/montagus-gusto-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,or0Op4EDk95L0vhLwSATcQ
13,Clancey,American (New),4.5,$$,79 Clinton St,40.7190299,-73.98521,https://www.yelp.com/biz/clancey-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7qtIemPU3LlNix8CVWdhwA
14,Purbird,American (New),4.0,$$,82 Sixth Ave,40.67985,-73.97518,https://www.yelp.com/biz/purbird-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,shTLI1GCcZ9rosFdt8d2Xg
15,The Quarter Brooklyn,American (New),4.0,$$,87 Lafayette Ave,40.6874192552749,-73.9748689904809,https://www.yelp.com/biz/the-quarter-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HdYmIA2jRBbKnU1mGJ9a3Q
16,Wolfnights ,American (New),4.0,$$,99 Rivington St,40.720021354453756,-73.9885666,https://www.yelp.com/biz/wolfnights-new-york-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jpw7iGUzsj_AECKt351X8w
17,Mr Wraps,American (New),3.5,$,741 Garden St,40.7455771582294,-74.0301996982031,https://www.yelp.com/biz/mr-wraps-hoboken?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BWuKxlkZvjejYxQ6-haLeg
18,Muscle Maker Grill,American (New),4.0,$$,4041 E Tremont Ave,40.8195,-73.8171,https://www.yelp.com/biz/muscle-maker-grill-bronx?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1lU3jq0jI527nlRC-aTKXg
19,Satyr Grill,American (Traditional),3.5,$,1109 Cypress Ave,40.6960902,-73.8994532,https://www.yelp.com/biz/satyr-grill-ridgewood?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pMdGxqqo_bJQNwvwj2XpcA
20,Greenwich Street Tavern,American (Traditional),4.0,$$,399 Greenwich St,40.720839,-74.0096888,https://www.yelp.com/biz/greenwich-street-tavern-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tS57VDB7MA81rzOsQkTrmw
21,Wrap and Roll Grill,American (Traditional),2.0,$,1530 3rd Ave,40.779129,-73.954162,https://www.yelp.com/biz/wrap-and-roll-grill-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,10B5dlMaQ_l3m5QrlCPNzA
22,Winona's,American (Traditional),,,676 Flushing Ave,40.700038,-73.945787,,
23,Cafe Panino Mucho Giusto,Bagels,4.0,$,551 Hudson St,40.735256,-74.006309,https://www.yelp.com/biz/cafe-panino-mucho-giusto-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jewdjZyGcAXIepOeTBae6g
24,Best Bagel & Coffee,Bagels,4.5,$,225 W 35th St,40.7522683,-73.9910861,https://www.yelp.com/biz/best-bagel-and-coffee-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,j1S3NUrkB3BVT49n_e76NQ
25,Ess-a-Bagel,Bakeries,4.0,$,831 3rd Ave,40.756300559255,-73.9703701025162,https://www.yelp.com/biz/ess-a-bagel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,c3eMI4_o4dPDDhPV_ibBYQ
26,Parisi Bakery,Bakeries,4.5,$$,198 Mott St,40.7211836,-73.9954365,https://www.yelp.com/biz/parisi-bakery-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6q6WWGaO75PQkpWOQ2zzHQ
27,The Juicy Box,Bars,4.0,$$,2281 Nostrand Ave,40.629069,-73.947001,https://www.yelp.com/biz/the-juicy-box-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MgGY2TEfFCyzxmMzcqAO6w
28,Skinny's Cantina,Bars,3.0,$$,4705 Center Blvd,40.7457158661738,-73.9563131306885,https://www.yelp.com/biz/skinnys-cantina-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,NvyOagUcodDPHSDF5Vhbmg
29,Forrest Point,Bars,4.0,$$,970 Flushing Ave,40.70319,-73.93229,https://www.yelp.com/biz/forrest-point-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zHqDuMznom7CLp2lqV8q0g
30,Saravá - The Modern Bistro,Breakfast & Brunch,4.5,$$,6819 Third Ave,40.635841,-74.025738,https://www.yelp.com/biz/sarav%C3%A1-the-modern-bistro-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,g3FOPlO-Gp0J4HfjurW74Q
31,Devon and Blakely,Breakfast & Brunch,,,185 Greenwich St,40.71158,-74.01141,,
32,Jack's Wife Freda,Breakfast & Brunch,4.0,$$,224 Lafayette St,40.72213,-73.99756,https://www.yelp.com/biz/jacks-wife-freda-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Me4TxTbPPQZQopW1wOGx5g
33,The Blue Dog Cookhouse & Bar,Breakfast & Brunch,4.0,$$,308 W 50th St,40.76244,-73.98674,https://www.yelp.com/biz/the-blue-dog-cookhouse-and-bar-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,I6optu9x0JAf8oT5lqJ8qw
34,Banter,Breakfast & Brunch,4.5,$$,169 Sullivan St,40.72787,-74.0010999,https://www.yelp.com/biz/banter-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Zc7Jbuwe3XO-EaVXIh_TYQ
35,Toasties,Breakfast & Brunch,3.5,$,23 E 51st St,40.758511,-73.9748188,https://www.yelp.com/biz/toasties-new-york-9?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,F2TE6sQpywj3bkVi8L_nLw
36,Energy Fuel Healthy Grill,Breakfast & Brunch,3.0,$$,386 Myrtle Ave,40.69294,-73.970508,https://www.yelp.com/biz/energy-fuel-healthy-grill-brooklyn-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YedhNxIynx2FAVkYZCG09g
37,Weekends,Breakfast & Brunch,4.5,$,155 S 4th St,40.71162,-73.96184,https://www.yelp.com/biz/weekends-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RszJexNjHiS1As9cJ7eWpQ
38,Tio Pio,Breakfast & Brunch,3.0,$,78 Willoughby St,40.69208,-73.98566,https://www.yelp.com/biz/tio-pio-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,36C1DDb_8WatJkMt-pg4Iw
39,Pure Bistro,Breakfast & Brunch,4.0,$$,88 5th Ave,40.680452,-73.977961,https://www.yelp.com/biz/pure-bistro-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7Wd4pLyM6rqlC8YQexBJbg
40,Wrap-N-Run,Burgers,3.5,$,1125 Lexington Ave,40.774368,-73.959106,https://www.yelp.com/biz/wrap-n-run-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Eomoxptcfby96iDCkxMzIg
